station_id,num_bikes_available,vehicle_types_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,Reported_Time,Hour,Day_of_Week,Month
1,22,"[{'vehicle_type_id': 'mechanical', 'count': 17}, {'vehicle_type_id': 'electrical', 'count': 5}]",0,9,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
2,2,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,17,0,True,False,True,1786730705,2026-08-14 19:05:05+01:00,19,4,8
3,7,"[{'vehicle_type_id': 'mechanical', 'count': 4}, {'vehicle_type_id': 'electrical', 'count': 3}]",0,13,0,True,False,True,1786727777,2026-08-14 18:16:17+01:00,18,4,8
4,11,"[{'vehicle_type_id': 'mechanical', 'count': 10}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,9,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
5,23,"[{'vehicle_type_id': 'mechanical', 'count': 12}, {'vehicle_type_id': 'electrical', 'count': 11}]",0,17,0,True,False,True,1786672971,2026-08-14 03:02:51+01:00,3,4,8
6,14,"[{'vehicle_type_id': 'mechanical', 'count': 6}, {'vehicle_type_id': 'electrical', 'count': 8}]",0,6,0,True,False,True,1786680907,2026-08-14 05:15:07+01:00,5,4,8
7,6,"[{'vehicle_type_id': 'mechanical', 'count': 6}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,22,1,True,False,True,1786759382,2026-08-15 03:03:02+01:00,3,5,8
8,17,"[{'vehicle_type_id': 'mechanical', 'count': 6}, {'vehicle_type_id': 'electrical', 'count': 11}]",0,13,0,True,False,True,1786672968,2026-08-14 03:02:48+01:00,3,4,8
9,21,"[{'vehicle_type_id': 'mechanical', 'count': 14}, {'vehicle_type_id': 'electrical', 'count': 7}]",0,3,0,True,False,True,1786672979,2026-08-14 03:02:59+01:00,3,4,8
10,16,"[{'vehicle_type_id': 'mechanical', 'count': 8}, {'vehicle_type_id': 'electrical', 'count': 8}]",0,0,0,True,False,True,1786672979,2026-08-14 03:02:59+01:00,3,4,8
11,5,"[{'vehicle_type_id': 'mechanical', 'count': 5}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,25,0,True,False,True,1786672969,2026-08-14 03:02:49+01:00,3,4,8
12,3,"[{'vehicle_type_id': 'mechanical', 'count': 3}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,17,0,True,False,True,1786672976,2026-08-14 03:02:56+01:00,3,4,8
13,3,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,27,0,True,False,True,1786672974,2026-08-14 03:02:54+01:00,3,4,8
14,19,"[{'vehicle_type_id': 'mechanical', 'count': 18}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,11,0,True,False,True,1786672974,2026-08-14 03:02:54+01:00,3,4,8
15,4,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,12,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
16,17,"[{'vehicle_type_id': 'mechanical', 'count': 10}, {'vehicle_type_id': 'electrical', 'count': 7}]",0,3,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
17,15,"[{'vehicle_type_id': 'mechanical', 'count': 8}, {'vehicle_type_id': 'electrical', 'count': 7}]",0,5,0,True,False,True,1786672978,2026-08-14 03:02:58+01:00,3,4,8
18,16,"[{'vehicle_type_id': 'mechanical', 'count': 12}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,14,0,True,False,True,1786672979,2026-08-14 03:02:59+01:00,3,4,8
